node_id,x,y,head(m),pressure(kPa),velocity_x(m/s),velocity_y(m/s),gradient
296,20.2198,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
297,22.2308,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
298,24.2418,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
299,26.2527,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
300,28.2637,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
301,30.2747,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
302,32.2857,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
303,34.2967,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
304,36.3077,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
305,38.3187,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
306,40.3297,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
307,42.3407,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
308,44.3516,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
309,46.3626,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
310,48.3736,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
311,50.3846,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
